CustomerID,Recency,Frequency,Monetary,Cluster,R_norm,F_norm,M_norm,RFM_weighted
12346.0,326,1,77183.6,3,0.12868632707774796,0.0,0.2764972212118562,0.14920478660806688
12347.0,2,7,4310.0,0,0.9973190348525469,0.02926829268292683,0.015427163422105067,0.31414706362948414
12348.0,75,4,1437.24,0,0.8016085790884718,0.014634146341463414,0.00513548551383533,0.24692701183451468
12349.0,19,1,1457.55,0,0.9517426273458445,0.0,0.005208246196355609,0.28760608668229554
12350.0,310,1,294.4,1,0.17158176943699732,0.0,0.0010412551636887867,0.05189103289657471
12352.0,36,7,1385.74,0,0.906166219839142,0.02926829268292683,0.0049509864911965115,0.28261074835309924
12353.0,204,1,89.0,1,0.4557640750670241,0.0,0.0003054085763098884,0.13685138595063118
12354.0,232,1,1079.4,1,0.38069705093833783,0.0,0.003853521819445531,0.11575052400927956
12355.0,214,1,459.4,1,0.42895442359249325,0.0,0.0016323685371917964,0.1293392744926247
12356.0,23,3,2487.43,0,0.9410187667560321,0.009756097560975608,0.008897796748496698,0.288791577994501
12357.0,33,1,6207.67,0,0.9142091152815013,0.0,0.022225576243289653,0.28315296508176624
12358.0,2,2,928.0600000000001,0,0.9973190348525469,0.004878048780487805,0.003311345468257982,0.3019836632772136
12359.0,58,4,6310.03,0,0.8471849865951743,0.014634146341463414,0.022592281485179153,0.26758265247506297
12360.0,52,3,2302.06,0,0.8632707774798928,0.009756097560975608,0.008233707742155772,0.2652015456091228
12361.0,287,1,174.9,1,0.23324396782841816,0.0,0.0006131457810608493,0.07021844866094978
12362.0,3,10,4737.23,0,0.9946380697050938,0.04390243902439025,0.016957717158842586,0.31834523948238225
12363.0,110,2,552.0,0,0.707774798927614,0.004878048780487805,0.0019641085274122736,0.21458149772339544
12364.0,8,4,1208.1,0,0.9812332439678284,0.014634146341463414,0.004314590250777877,0.3004860531930987
12365.0,291,1,320.69,1,0.22252010723860594,0.0,0.001135439227866933,0.06721020786272856
12367.0,4,1,150.9,0,0.9919571045576407,0.0,0.0005271656540058661,0.29779799762889453
12370.0,51,4,3421.94,0,0.8659517426273459,0.014634146341463414,0.012245683770753048,0.26907404019894404
12371.0,60,1,1527.96,0,0.8418230563002681,0.0,0.005460490394103167,0.25473111304772167
